Conference,title,link
Oakland 25,Fuzz-Testing Meets LLM-Based Agents: An Automated and Efficient Framework for Jailbreaking Text-To-Image Generation Models .,https://csdl-downloads.ieeecomputer.org/proceedings/sp/2025/2236/00/223600a336.pdf?Expires=1750022001\&Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jc2RsLWRvd25sb2Fkcy5pZWVlY29tcHV0ZXIub3JnL3Byb2NlZWRpbmdzL3NwLzIwMjUvMjIzNi8wMC8yMjM2MDBhMzM2LnBkZiIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1MDAyMjAwMX19fV19\&Signature=nnOvoQ~UWVpErdUt~fXsF2Vfag40e2Bsd90bQSjfbGwyy1WlhAy60fvlfAaHtpTPSb-Q9TGCJPZy2GFzIFJ4NA7RQ4RCfDRfleK0mHIDDP5W-xbK8DPl8y7OpjWACRpzZx42C2agkp--vohb1cZNW0dZI5SGEOXwmZphRQR7aJpqUrkC6kBDOE7FK1dMU7hriyogH5L4c2FCqGhDXic5-kUA~n1rST302fV~s6qFxlOyntgOyxyoVgW8TORS0hT34S2X3yANvjlAKHMmjmmo2oXi2TBfZCcXKdGRTYPKyzbQAh-q1TaPkI44jaVeRBbI~F0RV4ESjAZfCky0Z7Rffg__\&Key-Pair-Id=K12PMWTCQBDMDT
Oakland 25,Modifier Unlocked: Jailbreaking Text-to-Image Models Through Prompts.,https://www.computer.org/csdl/proceedings-article/sp/2025/223600a355/26EkESqqGlO
Oakland 25,On the Effectiveness of Prompt Stealing Attacks on In-The-Wild Prompts.,https://yangzhangalmo.github.io/papers/SP25-PromptStealing.pdf
Oakland 25,DataSentinel: A Game-Theoretic Detection of Prompt Injection Attacks,https://arxiv.org/pdf/2504.11358
USENIX Security 2025 (R2),Are CAPTCHAs Still Bot-hard? Generalized Visual CAPTCHA Solving with Agentic Vision Language Model,https://www.usenix.org/conference/usenixsecurity25/presentation/teoh
USENIX Security 2025 (R2),Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-based Agents,https://www.usenix.org/conference/usenixsecurity25/presentation/liu-fengyu
USENIX Security 2025 (R2),GradEscape: A Gradient-Based Evader Against AI-Generated Text Detectors,https://www.usenix.org/conference/usenixsecurity25/presentation/meng
USENIX Security 2025 (R2),Provably Robust Multi-bit Watermarking for AI-generated Text,https://www.usenix.org/conference/usenixsecurity25/presentation/qu-watermarking
USENIX Security 2025 (R2),EmbedX: Embedding-Based Cross-Trigger Backdoor Attack Against Large Language Models,https://www.usenix.org/conference/usenixsecurity25/presentation/yan-nan
USENIX Security 2025 (R2),Mind the Inconspicuous: Revealing the Hidden Weakness in Aligned LLMs' Refusal Boundaries,https://www.usenix.org/conference/usenixsecurity25/presentation/yu-jiahao
USENIX Security 2025 (R2),Game of Arrows: On the (In-)Security of Weight Obfuscation for On-Device TEE-Shielded LLM Partition Algorithms,https://www.usenix.org/conference/usenixsecurity25/presentation/wang-pengli
USENIX Security 2025 (R2),Refusal Is Not an Option: Unlearning Safety Alignment of Large Language Models,https://www.usenix.org/conference/usenixsecurity25/presentation/song-minkyoo
USENIX Security 2025 (R2),Activation Approximations Can Incur Safety Vulnerabilities in Aligned LLMs: Comprehensive Analysis and Defense,https://www.usenix.org/conference/usenixsecurity25/presentation/zhang-jiawen
USENIX Security 2025 (R2),Unlocking the Power of Differentially Private Zeroth-order Optimization for Fine-tuning LLMs,https://www.usenix.org/conference/usenixsecurity25/presentation/bao-ergute
USENIX Security 2025 (R2),Membership Inference Attacks Against Vision-Language Models,https://www.usenix.org/conference/usenixsecurity25/presentation/hu-yuke
USENIX Security 2025 (R2),Depth Gives a False Sense of Privacy: LLM Internal States Inversion,http://usenix.org/conference/usenixsecurity25/presentation/dong-tian
USENIX Security 2025 (R2),I Know What You Said: Unveiling Hardware Cache Side-Channels in Local Large Language Model Inference,https://www.usenix.org/conference/usenixsecurity25/presentation/gao-zibo
USENIX Security 2025 (R2),Big Help or Big Brother? Auditing Tracking, Profiling, and Personalization in Generative AI Assistants,https://www.usenix.org/conference/usenixsecurity25/presentation/vekaria
USENIX Security 2025 (R2),Data-Free Model-Related Attacks: Unleashing the Potential of Generative AI,http://usenix.org/conference/usenixsecurity25/presentation/ye-attacks
USENIX Security 2025 (R2),PRSA: Prompt Stealing Attacks against Real-World Prompt Services,https://www.usenix.org/conference/usenixsecurity25/presentation/yang-yong
USENIX Security 2025 (R2),Cross-Modal Prompt Inversion: Unifying Threats to Text and Image Generative AI Models,https://www.usenix.org/conference/usenixsecurity25/presentation/ye-inversion
USENIX Security 2025 (R2),Prompt Obfuscation for Large Language Models,https://www.usenix.org/conference/usenixsecurity25/presentation/pape
USENIX Security 2025 (R2),TwinBreak: Jailbreaking LLM Security Alignments based on Twin Prompts,https://www.usenix.org/conference/usenixsecurity25/presentation/krauss
USENIX Security 2025 (R2),Exploiting Task-Level Vulnerabilities: An Automatic Jailbreak Attack and Defense Benchmarking for LLMs,https://www.usenix.org/conference/usenixsecurity25/presentation/zhang-lan
USENIX Security 2025 (R2),StruQ: Defending Against Prompt Injection with Structured Queries,https://www.usenix.org/conference/usenixsecurity25/presentation/chen-sizhe
USENIX Security 2025 (R2),Machine Against the RAG: Jamming Retrieval-Augmented Generation with Blocker Documents,https://www.usenix.org/conference/usenixsecurity25/presentation/shafran
USENIX Security 2025 (R2),Topic-FlipRAG: Topic-Orientated Adversarial Opinion Manipulation Attacks to Retrieval-Augmented Generation Models,https://www.usenix.org/conference/usenixsecurity25/presentation/gong-yuyang
USENIX Security 2025 (R2),TracLLM: A Generic Framework for Attributing Long Context LLMs ,https://www.usenix.org/conference/usenixsecurity25/presentation/wang-yanting
USENIX Security 2025 (R2),Unsafe LLM-Based Search: Quantitative Analysis and Mitigation of Safety Risks in AI Web Search,https://www.usenix.org/conference/usenixsecurity25/presentation/luo-zeren
USENIX Security 2025 (R2),"Cloak, Honey, Trap: Proactive Defenses Against LLM Agents",https://www.usenix.org/conference/usenixsecurity25/presentation/ayzenshteyn
USENIX Security 2025 (R2),Password Guessing Using Large Language Models,https://www.usenix.org/conference/usenixsecurity25/presentation/zou-yunkai
USENIX Security 2025 (R2),SOFT: Selective Data Obfuscation for Protecting LLM Fine-tuning against Membership Inference Attacks,https://www.usenix.org/conference/usenixsecurity25/presentation/zhang-kaiyuan
USENIX Security 2025 (R2),Effective PII Extraction from LLMs through Augmented Few-Shot Learning,https://www.usenix.org/conference/usenixsecurity25/presentation/cheng-shuai
USENIX Security 2025 (R2),Private Investigator: Extracting Personally Identifiable Information from Large Language Models Using Optimized Prompts,https://www.usenix.org/conference/usenixsecurity25/presentation/keum
USENIX Security 2025 (R2),PrivacyXray: Detecting Privacy Breaches in LLMs through Semantic Consistency and Probability Certainty,https://www.usenix.org/conference/usenixsecurity25/presentation/he-jinwen
USENIX Security 2025 (R2),Malicious LLM-Based Conversational AI Makes Users Reveal Personal Information,https://www.usenix.org/conference/usenixsecurity25/presentation/zhan
USENIX Security 2025 (R2),EchoLLM: LLM-Augmented Acoustic Eavesdropping Attack on Bone Conduction Headphones with mmWave Radar,https://www.usenix.org/conference/usenixsecurity25/presentation/yao-xin
CCS 2025 (R2),Give LLMs a Security Course: Securing Retrieval-Augmented Code Generation via Knowledge Injection,https://arxiv.org/abs/2504.16429
CCS 2025 (R2),Can Personal Health Information Be Secured in LLM? Privacy Attack and Defense in the Medical Domain,Pdf
CCS 2025 (R2),You Can't Steal Nothing: Mitigating Prompt Leakages in LLMs via System Vectors,https://ui.adsabs.harvard.edu/abs/2025arXiv250921884C/abstract
CCS 2025 (R2),MoEcho: Exploiting Side-Channel Attacks to Compromise User Privacy in Mixture-of-Experts LLMs,https://ui.adsabs.harvard.edu/abs/2025arXiv250815036D/abstract
CCS 2025 (R2),PreferCare: Preference Dataset Copyright Protection in LLM Alignment by Watermark Injection and verification,Pdf
CCS 2025 (R2),Security-Aware Sensor Fusion with MATE: the Multi-Agent Trust Estimator,https://ui.adsabs.harvard.edu/abs/2025arXiv250304954H/abstract
CCS 2025 (R2),AgentSentinel: An End-to-End and Real-Time Security Defense Framework for Computer-Use Agents,https://ui.adsabs.harvard.edu/abs/2025arXiv250907764H/abstract
CCS 2025 (R2),FlippedRAG: Black-Box Opinion Manipulation Attacks to Retrieval-Augmented Generation of Large Language Models,https://arxiv.org/abs/2501.02968
CCS 2025 (R2),YouthSafe: A Youth-Centric Safety Benchmark and Safeguard Model for Large Language Models,https://ui.adsabs.harvard.edu/abs/2025arXiv250908997Y/abstract
